Mother Prompt,Child Response,Raw Score,Extracted Score
what's over on this side Miles ?,a snake .,"3

The child's response is contextually appropriate",3.0
do you want to build something else instead ?,well .,2,2.0
you want me to play ?,yeah .,4,4.0
is that for me ?,yeah .,3,3.0
you always say “mornit” .,i put that in here .,1,1.0
he says prayers .,again .  no .,2,2.0
well come and wake me up then .,why don't i want them on ?,2,2.0
so everything you say or sing is recorded and we can play it back .,i want to play it now .,2,2.0
you want to go to your house ?,yeah .,4,4.0
oh time for new toys .,i've got new one .,3,3.0
do you like going to the beach ?,yeah .,3,3.0
I don't know .,it's a book .,2,2.0
oh who's on the picture ?,the,2,2.0
now in the meantime let's get that icing we made the other day .,yeah .,3,3.0
well when you move .,,N/A,0.0
"a lot of animals, huh ?",yeah .,3,3.0
it's the gasman .,it's the gasman .,4,4.0
are you all done with that face ?,bellybutton .,3,3.0
shut this thing .,this .,3,3.0
are you staying here by yourself ?,i'm going to go .,2,2.0
that little piggy had roast beef .,oh little pig .,3,3.0
this is Mummy duck feeding baby duck .,eating .,3,3.0
that's not nice .,he might bite me .,3,3.0
that's a helicopter ?,and that's the airplane .,3,3.0
we don't need to open them now .,my .,2,2.0
you might break boxes ?,yeah .,2,2.0
do you remember ?,mhm .,2,2.0
you may use all you can .,yeah .,3,3.0
oh you're Gordon though .,mhm .,3,3.0
just me nobody else ?,and you .,4,4.0
"thank you , Helen .",and i'm going to read a book to you .,3,3.0
"oh, you know some of these things don't you ?",mhm .,3,3.0
caught you eating them with a spoon .,caught you .,2,2.0
are they watching you ?,are watching you .,2,2.0
will it take long ?,yeah .,2,2.0
you broke it ?,yes .,2,2.0
all that just for that .,me want it .,2,2.0
you don't normally .,no .,2,2.0
alright then we'll talk on the phone after .,yeh .,4,4.0
well that's a trail left by a slug .,mm .,2,2.0
what are they all doing down there ?,yeah .,1,1.0
and what's that ?,a moon .,4,4.0
to his house .,no .,2,2.0
did they keep your feet dry .,yeah .,3,3.0
do you think Daddy can get onto a d v d for you ?,yeah .,3,3.0
he's having a good time .,what ?,2,2.0
through the hole at the top .,yeah .,3,3.0
what do we crack ?,people .,1,1.0
because there's no corners .,there's milkers and .,2,2.0
where is there a snowman ?,yeah .,1,1.0
you can dump them .,i want to dump the water .,3,3.0
that's a seal .,what's that ?,3,3.0
look what book is here .,what's this ?,3,3.0
keeps your fingers moving when you squeeze .,all done .,2,2.0
any excuse for throwing .,excuse me .,1,1.0
"really different , Thomas .",and it too harder that way .,3,3.0
oh but I haven't finished getting my sweeties yet .,and this is a lamb when you're old .,2,2.0
there it is .,it's not .,2,2.0
I'd say about this tall .,yeah .,2,2.0
do you know what this is ?,what is it ?,2,2.0
a trunk on what ?,on .,2,2.0
I don't think she needs any .,she does .,2,2.0
because this skirt wasn't made for a belt .,cold .,2,2.0
"don't squeal like that , Nicole .",squeal like that .,1,1.0
how about that picture ?,but that's the name of it .,2,2.0
do you want to put it back on ?,no .,2,2.0
on this picture .,oh .,2,2.0
my Mama told me not to talk to strangers .,i want to go to boston now .  press my button,2,2.0
frightened Miss Muffet away .,what's that ?,3,3.0
it's sleeping Dora .,it sleeping dora ?,2,2.0
I know it's really early and it's not supposed to be orange yet is it ?,oh .,2,2.0
you know that picture that I showed you ?,yeah .,3,3.0
right now is anybody going to come and see all these animals ?,-n .,1,1.0
I think that bit there is the bottom bit .,that .,3,3.0
and then where does it go from her mouth ?,into her mouth .,2,2.0
don't want books then ?,no .,2,2.0
alright shall we have a picnic as well ?,yeah .,4,4.0
you can probably wind it back up .,you need ?,2,2.0
what is it you want ?,a bunny .,3,3.0
you just like icecream .,that's .,2,2.0
have you got there yet ?,no .,3,3.0
what do you think it's for ?,for walking robodog .,3,3.0
hah what's this ?,yyy .,1,1.0
she's the same girl that was throwing the football ?,yeah .,3,3.0
oh there might be .,what ?,2,2.0
and then do .,i don't like to be wet though .,2,2.0
he wants a wee wee .,yeah .,2,2.0
did you tell him off ?,yeah .,3,3.0
you want to use that sock .,okay .,2,2.0
it's really good that .,can i go next ?,2,2.0
"Laura likes to talk now , , don't you ?",mhm .,2,2.0
it's not good .,is it not ?,2,2.0
what does this one say ?,old macdonald .,3,3.0
even though he was knocked unconscious .,so he didn't get loose ?,3,3.0
you got me a spoon ?,yeah .,3,3.0
if you don't want one we won't get you one .,you can have this one .,3,3.0
is this really yellow ?,yeah !,3,3.0
is this house going to fall down ?,yeah .,1,1.0
what's this one ?,a moon .,3,3.0
I'm me and you're you .,yeah .,3,3.0
you went under the water with Mummy do you remember ?,yeah .,3,3.0
Mummy's put her keys down again and she doesn't know where she's put them .,that one .,3,3.0
no not yet .,not yet .,2,2.0
sleeping in your bed .,yes .,3,3.0
I'm sure you want a sandwich and a biscuit .,oh .,2,2.0
so you've got some missing .,that's a rocket .,2,2.0
do you want me to go and have a look ?,yeah .,4,4.0
Dotty Bear's go to school .,school .,3,3.0
have you got a cat too ?,yeah .,3,3.0
does it match ?,yeah .,4,4.0
where are the bottles ?,in the .,3,3.0
what's in it ?,it's a a bus a a box .,2,2.0
what are they doing ?,a laughing .,2,2.0
well would you like a little drink of juice ?,yes please .,4,4.0
you know what that's called ?,yes .,2,2.0
this ballet cardigan .,yeah .,2,2.0
does mommy put a blankie on you ?,yeah .,4,4.0
and do you remember the manager ?,yeah .,3,3.0
come on move out the way please .,"mummy , i can't put your hand in .",3,3.0
so you've got to count how many things are in that tree and then put a ring around the number .,oops .,2,2.0
look at that .,swing ?,3,3.0
I thought you said Boo was the green one .,he does .,3,3.0
you see it's a teacup .,teacup .,3,3.0
it's Magdelen college .,that's right .,4,4.0
well you don't go like that .,why ?,3,3.0
put it in the hole then please .,like that ?,4,4.0
shall we find Blow the man down ?,yeah .,3,3.0
what goes first ?,first this .,2,2.0
here we go .,that's not jackson .,2,2.0
but what's this ?,a dog .,3,3.0
no these willn't stick on .,that one .,2,2.0
we're supposed to wait here for the next thing .,how come you get everything .,2,2.0
her tap shoes .,her tap shoes .,4,4.0
all connected up .,i'll just do this .,3,3.0
another little didey one over here ?,i want another baby .,1,1.0
did you drop it ?,yeah .,3,3.0
I don't know if there is a fork buddy .,okay .,2,2.0
and what's this that's fallen on the floor ?,it's a bobble .,4,4.0
"there , look .",where's the little girl ?,2,2.0
can take me downstairs ?,yes .,4,4.0
you're making an f ?,uhoh .,2,2.0
you and Andy .,i don't like the way it's running .,2,2.0
who's that for ?,winnie pooh .,3,3.0
why are they red ?,huh ?,1,1.0
are you eating a lemon ?,no .,3,3.0
you did bump your head and you bumped your arm .,mhm .,2,2.0
you're getting the what out ?,this out .,2,2.0
Mummy will cut .,a broken it rollers .,2,2.0
mind your back .,sorry .,4,4.0
I've got a book on my hair ?,what book ?,3,3.0
nothing to worry about .,not anything to worry about .,4,4.0
so the life boat itself is in trouble now .,what's this ?,2,2.0
I see you .,it hot .,2,2.0
"no , not Auntie Barbara .",please let me have that .,2,2.0
we went to the art museum that was a big deal .,popcorn !  popcorn !,0,0.0
"they get fish as well , do they ?",yeah .,4,4.0
put that pram in the other room .,what about the lamp ?,3,3.0
what does that mean ?,ghostbusters .,3,3.0
and you'd be all locked up in that room on your own .,like to eat ?,1,1.0
but he was still hungry .,yeah .,2,2.0
the kind you're going to make me for dinner ?,yeah .,3,3.0
you think so ?,yeah .,4,4.0
you haven't paid me yet .,yes .,1,1.0
who's he looking at ?,at that dog .,4,4.0
you can have it now .,okay .,4,4.0
what do you wear ?,wear my costume .,3,3.0
www on Wednesday he ate through three .,pears .,3,3.0
see he's got home things in his hand .,yeah .,3,3.0
now he can see better .,right .,3,3.0
it goes in the oven .,in the oven .,3,3.0
I don't think elephants have whiskers .,why ?,3,3.0
why does your head hurt ?,because it hurts .,1,1.0
so she's marooned .,she's maroonted ?,3,3.0
who put them on ?,peppa and me .,4,4.0
Awww said you can play with it .,pardon .,2,2.0
what will you learn ?,you have to tell me .,2,2.0
for them to .,oh i see .,3,3.0
put in a pile on the floor .,yeah .,2,2.0
that's a butterfly .,what's this ?,3,3.0
does the breakdown truck pull the car in ?,oh come in .,1,1.0
you're a man .,man .,3,3.0
what are they doing ?,eating .,3,3.0
why don't you get your dalmatians out ?,because they're not yet .,3,3.0
do you want to .,yeah .,2,2.0
you want me to match it ?,yeah .,3,3.0
helicopters don't go as high as airplanes .,mine is bigger .,2,2.0
take it out your mouth .,that a yuck .,3,3.0
so that he can get away quickly I guess .,yeah .,3,3.0
yeah who else ?,i'm a picture xxx .,1,1.0
who else is there besides Sarah .,talking .,2,2.0
CJ is at work .,cj is at home .,1,1.0
we never did read the story of wiggly pig .,that that that .,1,1.0
Mommy had the arms upside down .,okay .,2,2.0
he's kind of like a country's president .,read this one .,2,2.0
"he had some little metal rings and they were supposed to try to pull them apart , right ?",and they had to get all the things from the blocks .,2,2.0
"well you'll have to look for her , willn't you ?",oh .,2,2.0
pretend that's the sink right in there .,i want to put the sink right here .,3,3.0
next page then .,yeah .,4,4.0
what does John do ?,stop .,1,1.0
what's it going to go through ?,tunnel .,4,4.0
I thought you had a box of caps up here .,what ?,1,1.0
that's Zwww's Christmas present .,zwww ?,2,2.0
does he not fall off a wall ?,what ?,2,2.0
the chocolate fountain .,"i'll put it in my, eye hole .",0,0.0
what is that one ?,a airplane .,3,3.0
you don't know ?,a daddy .,3,3.0
you put your penny in the slot .,oh .,3,3.0
are you going to tell him the story ?,that .,2,2.0
I'm just looking to see if we've got one that's open .,not open it .,2,2.0
here you go .,thanks .,4,4.0
want to move this ?,want that .,3,3.0
are they just babies then ?,yeah .,3,3.0
that's called a carousel .,carousel .,4,4.0
you all done Chi ?,yeah yeah yeah yeah yeah yeah yeah .,2,2.0
it's Purdie on the stairs .,meow .,0,0.0
is it good ?,yeah .,2,2.0
what is this thing ?,oh a clock .,3,3.0
oh have they had a crash ?,what in there ?,2,2.0
"silly boy , not Pooh bear .",not the blue one .,2,2.0
is it your baby ?,yes .,4,4.0
Amy's in the middle .,i want you to watch me .,2,2.0
where are you going ?,to daddy's .,4,4.0
I remember loving to make snowmen and snowballs and .,open it !,2,2.0
well shall we take you to prison with the naughty goblins then ?,yeah .,3,3.0
Jwww doesn't come and play in here anymore .,ah .,2,2.0
does the sheep sing ?,yeah .,3,3.0
how about if we put these animals in the box ?,yeah .,3,3.0
well you have some other friends too .,yeah .,3,3.0
well what a mess in the shop .,what's this ?,2,2.0
lorry come back please .,lorry .,3,3.0
I thought you wanted ketchup !,i don't like must haverd !,1,1.0
do you know what a frog says ?,no .,3,3.0
put your slip shoes on .,i'm going to make you a dinner .,2,2.0
it's a spanner .,i am going to draw with it .,2,2.0
my name is Ernie .,and who's that ?,2,2.0
does that look right ?,yes .,3,3.0
undo the velcro at the back .,i've already done the hard ones .,3,3.0
it looks a bit bendy .,yeah .,2,2.0
"they did not, like they're the talking trains .",i forget .,2,2.0
do they make it out of cookies ?,yeah .,3,3.0
it's your baby .,my baby gone .,2,2.0
where's the other penguin ?,yeah .,1,1.0
on Thursday he ate through four strawberries but he was still very hungry .,on thursday he ate through .,2,2.0
were you scared on the bubble ride ?,yeah .,4,4.0
oh that's a big magnet .,where ?,2,2.0
you want me to open it you know how to open straws .,yeah .,3,3.0
do the babies want the juice ?,yeah .,3,3.0
who picked you up from school ?,marge and mickey .,4,4.0
you're a lovely snake .,shall i do a jigsaw ?,2,2.0
you do a blue sun then .,yeah .,3,3.0
she'll find it later .,when she .,2,2.0
you want some more milk ?,yeah .,4,4.0
let's just tidy up your bricks .,i play this .,2,2.0
in the back .,in the front .,1,1.0
the dog's going to chase the cat .,and that dog .,4,4.0
what are you waiting on ?,waiting on the toys .,4,4.0
because I can't see sitting here .,yes you do !,2,2.0
but we grated something .,yeah .,3,3.0
a scary lion ?,yeah .,3,3.0
but what we doing now ?,yeah .,1,1.0
you want a plaster ?,yeah .,4,4.0
and in fact he's moving house .,house in your body .,1,1.0
"there's actually a clothes rail there , Thomas .",clothespap .,3,3.0
your mother told you to do ?,that's why i got this on and this on .,3,3.0
you're very kind .,i'm very kind to tomato .,1,1.0
a start blanket .,i know .,3,3.0
how many did you do ?,one .,2,2.0
now we stick em on there .,i'm going to stick em on,4,4.0
shall we do that ?,yeah .,3,3.0
if you can't have .,that's not yours .,3,3.0
where's the little one ?,right there .,4,4.0
you like Gwww .,xxx .,0,0.0
is that big and which one is this ?,big and .,2,2.0
where did you have your bandage ?,just on that .,2,2.0
I help you .,i help you .,1,1.0
can you say the word funnel ?,funnel .,5,5.0
maybe your squirrels already done that .,what ?,2,2.0
"it doesn't matter if it spills , babe .",oh .,3,3.0
I didn't get very much sleep last night .,i just had a little walk .,2,2.0
Mummy's talking rubbish .,yeah .,2,2.0
all to himself ?,yes .,4,4.0
he's just a little baby .,he not a little baby .,2,2.0
what're you doing ?,i'm making a tower .,4,4.0
which is to go there at the top ?,yes .,3,3.0
If you give a mouse a cookie .,eat apple .,2,2.0
and there's people as well .,see .,2,2.0
do you want to go ?,yes .,4,4.0
come on let's play come on .,i don't want to play on the table .,3,3.0
does Jesse have a train track in his room ?,yeah .,4,4.0
on the carpet .,here we go again .,2,2.0
are you stuck ?,where's it all going ?,2,2.0
Sophia get a toothbrush .,no .,1,1.0
shall we make some room then ?,yeah .,4,4.0
I'm really glad .,another one please .,2,2.0
she thought that you were like really sick or something but you were just goofing around and you screamed .,you don't .,2,2.0
that's a plant .,what this is .,2,2.0
oh Thomas The Tank Engine video .,gordon's slipped on the,2,2.0
the Cyber dog .,yeah .,3,3.0
what can it be ?,yeah .,2,2.0
you go oh .,he he he .,3,3.0
let's chop all the fluffy bit off .,where's the cotton ?,1,1.0
go to sleep ?,yes .,3,3.0
he's in a racing car .,oh no .,3,3.0
it is a train .,this train is go on .,3,3.0
you just want to eat it off the cob .,yes .,3,3.0
put it back there .,that's my lion book .,4,4.0
whatsa the matter ?,okay .,1,1.0
I found some more crisps in that packet .,i need more quavers .,3,3.0
here's your granola .,where's the lunch ?,2,2.0
what do you use your arms for ?,i .,0,0.0
but the colander is used more for washing fruit and vegetables .,he's only interested in the way .,2,2.0
what colors can you see there ?,red and green .,4,4.0
let me hold it .,no .,1,1.0
what's happening here ?,this the flute .,2,2.0
hey how about if we have lunch together .,yeah i going make .,1,1.0
I think that's where they're working .,that's where they're working .,3,3.0
if I give you real water you're going to play it real good ?,yeah .,4,4.0
"no , we are .","we're not going to bed , not yet .",3,3.0
it's no good saying nothing and giggling .,he's .,2,2.0
oh this is a good book .,good book .,3,3.0
the bunny rabbit likes to eat the carrot ?,yeah .,3,3.0
do you remember where we went ?,yeah .,3,3.0
where is it ?,there .,2,2.0
and you go and play nicely with Ellie you're going to push the train .,no .,2,2.0
that was funny .,huh .,1,1.0
what are you building ?,a big big big house .,4,4.0
where did you get it ?,getting knife .,1,1.0
no I think those are chips .,okay .,3,3.0
he was looking at the moon ?,see the moon right there ?,3,3.0
what are you going to do with them Chi ?,he's going to go to work .,3,3.0
Anna's coming swimming ?,yeah .,4,4.0
well you were right .,yeah .,4,4.0
what are you going to say to the horses ?,i'm not going to tell you .,2,2.0
what do you think they drink ?,oh oh the fire truck's coming .,1,1.0
he's just had his tea .,zero want get down .,2,2.0
"are you going to this in , is the pie in there ?",yeah .,4,4.0
do you want to get down .,yes .,4,4.0
wouldn't you like to have her visit for a night ?,yeah .,3,3.0
you're putting it in the back ?,yeah .,3,3.0
what's that in there ?,it's a truck .,4,4.0
they eat naughty little boys .,yes .,1,1.0
just the line ?,just the line .,3,3.0
I don't know what we're going to do this afternoon .,i don't want to do that .,1,1.0
where's the doggy ?,doggy a down .,2,2.0
it's okay to have it in your mouth but you mustn't have it down here in the part that's only supposed to have air in it .,oh .,3,3.0
it's getting longer .,i got to .,2,2.0
I wouldn't want him to bite me .,look !,2,2.0
you silly boy .,ah .,2,2.0
what did she hurt ?,her leg .,3,3.0
so that makes me a banana ?,what's that ?,1,1.0
"you got to keep those fingers out of way, huh ?",yeah .,3,3.0
tear up plants .,there's one .,3,3.0
she doesn't mind that on her like .,look .,2,2.0
"I don't think that's made him very well , has it ?",it isn't .,3,3.0
that's a hose .,what's this ?,3,3.0
can you reach it ?,yeah .,4,4.0
not everybody can just go in the morning .,but only daddy's go in the morning .,3,3.0
what kind of bike though ?,that one .,2,2.0
with his van .,look .,2,2.0
mommy do it ?,uhhuh .,2,2.0
I'll take you there in the morning and them I'm going to go see Inez .,no .,2,2.0
you want some more ?,yeah .,4,4.0
should I come to Scotland with you ?,yeah .,3,3.0
we're playing with the trains now .,train .,4,4.0
do you want one of those ?,uhhuh i'm done .,2,2.0
what is the lady doing ?,i don't know .,2,2.0
what you doing ?,zero got all toys .,2,2.0
we don't throw them at the light either .,not .,3,3.0
put your finger there .,okay .,4,4.0
what did you do at nursery yesterday .,she was painting me .,2,2.0
and yellow blocks .,and yellow blocks .,4,4.0
j a m .,there .,2,2.0
what would you like to drink ?,blackcurrant juice and coffee .,4,4.0
you have to have a bath first then you have a botbot .,yeah .,3,3.0
you clever girl .,that's not right .,2,2.0
"you said grass , did you ?",bear .,2,2.0
well I do one you do one .,okay .,4,4.0
she falls asleep .,yeah .,2,2.0
isn't that dirty ?,bath .,2,2.0
and the big hand is on the three o'clock .,two .,2,2.0
is that the monkey standing up there waving at everybody ?,yeah .,3,3.0
Daddy gets the big plate .,yes .,3,3.0
why was she late then ?,yeah .,1,1.0
Childsname why does daddy go to Milwaukee ?,yeah to see other christmas things .,3,3.0
I don't know where you were .,why did you have to do everything all by yourself ?,2,2.0
look at this pretty baby .,is that pretty baby ?,3,3.0
what kind of cat did they think it was ?,the white one .,3,3.0
a monkey bird ?,yeah .,3,3.0
all these toys are going away then .,mummy .,2,2.0
the seaside but I don't know which part .,the beach .,3,3.0
that's another duck .,a mouse .,1,1.0
can you do that ?,yeah .,3,3.0
oh how am I going to get there now ?,but not yet .,2,2.0
it's not a dinosaur either .,yes it is .,2,2.0
did you play with Declan and Amy this weekend ?,yeah .,3,3.0
that's a popsicle mold .,want to have it .,2,2.0
where have they gone ?,i don't know .,2,2.0
do we take gloves ?,binoculars .,1,1.0
this is a little Japanese song .,i like .,3,3.0
she can only look .,"hello , mr magra .",2,2.0
what's that one ?,a kitty .,4,4.0
she doesn't even like getting wet in the rain .,oh no .,3,3.0
I've got rubber gloves on .,wee .,3,3.0
can you count with the numbers ?,yeah .,3,3.0
all right love .,mummy .,4,4.0
"Thomas , you say this every mealtime now .",yes .,2,2.0
Dina made for you today .,that's my book too .,3,3.0
does he want a ride ?,mhm .,3,3.0
is that one going to drive ?,yeah .,3,3.0
is he naughty ?,naughty .,2,2.0
want to feed the baby ?,yeah .,4,4.0
I can't find any stop sign at all .,mummy in the floor .,1,1.0
what story do you want ?,i want .,2,2.0
you can put some glasses on him .,okay .,3,3.0
four teddy bears in the wash .,four teddy bears in the wash .,3,3.0
in real life she actually does like pizza and she likes peas and she likes beans .,i don't like that .,1,1.0
where has Jess gone ?,a chip shops .,2,2.0
what could we cut .,don't cut the ham off .,3,3.0
that's a star .,that's a star .,4,4.0
and what's that ?,that's a baby .,3,3.0
tell Raggy anne .,no raggy anne .,2,2.0
what did you say ?,what that .,2,2.0
but he was still hungry .,one two three four five .,1,1.0
a chocolate cake .,chocolate cake .,4,4.0
and he did the same with the greengrocer .,where's he going ?,2,2.0
oh and an arm .,i'm going to put a .,2,2.0
"night , children .",x mummy .,3,3.0
I don't know .,what's that ?,2,2.0
and then the microphones .,"mommy , i want to record that .",4,4.0
do you want that ?,no .,2,2.0
there's no n in it .,n .,1,1.0
named Puddy for a walk in the carriage .,i want see puddy .,3,3.0
what are you going to make for them when they come ?,no .,2,2.0
his truck got stuck .,that truck got,2,2.0
this is really nice .,yeah .,2,2.0
oh yes there's only cork .,cork .,3,3.0
where are the trains ?,in my box .,2,2.0
well do you want to go pee pee right now ?,yeah .,4,4.0
they have to heat up that way .,we have to .,2,2.0
that's like a sun visor they call that .,yeah but that's a leaf .,2,2.0
he's got a kite .,yeah .,3,3.0
well we'll probably drive to the airport and then we'll get a plane .,a plane and another plane .,3,3.0
I think it does too .,it does .,3,3.0
"Eleanor , did you stick that on Mama ?",yeah .,3,3.0
good because you've only just got up .,only got one button .,2,2.0
who is this ?,a girl .,3,3.0
is that what Father Christmas is delivering ?,yes .,4,4.0
what do you mean another one ?,yeah .,2,2.0
shall we try and find some more ?,yeah .,4,4.0
what can it be ?,i don't know .,2,2.0
the next one though .,you don't want to be .,2,2.0
what other dinosaur ?,other one .,2,2.0
where is he ?,here .,4,4.0
course I will .,what's that .,2,2.0
is that what the bee says ?,yeah .,3,3.0
what did you make with Auntie Dwww ?,a xxx .,3,3.0
talk properly please .,that's it .,2,2.0
what is it ?,it's a bus .,4,4.0
I don't want to count to three .,one two .,2,2.0
Bouncy Ben ball .,this this .,2,2.0
do you like spaghetti ?,yeah .,3,3.0
you can play for a little bit more .,no .,2,2.0
what sort of food would you like ?,banana like a cow .,2,2.0
who can chop wood ?,a mom or dad .,4,4.0
you don't want to ?,yeah okay okay okay okay .,2,2.0
is he getting your nose ?,yeah .,4,4.0
as funny as funny can be .,all gone .,2,2.0
what did you have for lunch today ?,pizza .,3,3.0
blankie will help too .,nin nin .,2,2.0
very pretty in there .,oh .,2,2.0
where do we put it ?,put it in here .,4,4.0
you're doing very good with the loud voices .,don't .,2,2.0
very rude child I heard you .,a nin nin's tooth .,2,2.0
there's a story about the sun and the cold .,look there's the caterpillar .,1,1.0
you sing it then .,that one .,3,3.0
you're not going to tell me today ?,the easter bunny comes .,3,3.0
what is this that she's painting right here on the picture ?,yeah .,1,1.0
would you like to go and live there one day ?,yeah .,3,3.0
what color's that ?,oh that red .,3,3.0
we could take daddy to work and then go to the park in Nottingham .,make him walk in car .,2,2.0
shh shh shh .,no .,2,2.0
it's not all gone .,that the ticktock ?,2,2.0
xxx make a sandwich .,"make an a , look .",2,2.0
come and look at a book .,yeah .,3,3.0
and what did she do ?,no .,2,2.0
tiger's not all better .,is he ?,2,2.0
there's a c d on the .,there .,2,2.0
what's alligator look like ?,i don't know .,1,1.0
and what does she have on that's pink ?,pink .,1,1.0
Nanny got you that .,i'm not her .,2,2.0
what should we give baby ?,spoon .,3,3.0
that's a rainbow ?,yeah .,3,3.0
can you sing a song about the donut ?,okay .,3,3.0
shut it gently .,i'm finished it shorter .,2,2.0
tell him what ?,fluff .,2,2.0
what's happened to Dingo's car ?,bump .,3,3.0
would you like nana baba ?,yeah .,4,4.0
what did you have for dinner ?,meat .,2,2.0
go on then .,yeah .,2,2.0
are you going to put him back in the car ?,home .,2,2.0
what color she painting it ?,yellow .,4,4.0
"what sort of biscuits are they , Thomas ?",little ones .,3,3.0
are we going to put some cars through your bridge ?,yeah .,3,3.0
look at all the other drums here .,yyy .,1,1.0
is the baby going to blow bubbles ?,yeah .,3,3.0
my Grandad is .,you grandad is .,0,0.0
it's a fire engine's hose pipe .,hog .,1,1.0
as a present ?,yes .,4,4.0
where's the house going to ?,a going that way .,2,2.0
Mischief Makers as well .,what's in there ?,3,3.0
where's the baby ?,right there .,4,4.0
it doesn't stay .,upside .,2,2.0
"well you should leave that alone , Thomas .",i want .,2,2.0
but when we know our stop's coming up what do we do on the bus to let the driver know that we want the next stop ?,the kitty cat .,0,0.0
will you not miss Mummy ?,no .,2,2.0
who's Caroline then ?,my little girl .,3,3.0
there's a pencil .,here pencil .,2,2.0
I bet the teacher gave her a spanking .,nope .,2,2.0
I'm going to try to put this one on him .,and now i'm going to put .,2,2.0
"no, is that .",her .,2,2.0
can you bring the jeep over here ?,that guy .,0,0.0
well I'm sorry .,i've got .,2,2.0
think he's what does he look like he's doing ?,he look likes he's sliding .,3,3.0
Bob's got a stomach ache ?,yeah .,3,3.0
is it hard that button ?,yeah .,2,2.0
one in there .,in the corner .,4,4.0
it looks like there's more fun pieces in it .,yeah .,3,3.0
he'd have been ready to fight with him right ?,yeah .,3,3.0
at the tip of his nose ?,yeah .,3,3.0
what are you going to draw ?,teddy bear .,4,4.0
this is called being in musth .,that one sleeping in there .,1,1.0
"night , Fraser .",it's nighttime .,4,4.0
what do we do first ?,take out the mouth .,2,2.0
look we can have her eat some .,yeah .,3,3.0
we both do .,and that one .,3,3.0
where is it ?,right here .,4,4.0
same color as our car .,that one .,4,4.0
I'm going to call .,the fish here .,1,1.0
in one of these cups .,eh .,2,2.0
you can have your dessert .,that's what .,2,2.0
it's up to you .,i want to make a building . *bro2: no !,2,2.0
mummie's got this Argos Catalogue for you to read .,yes .,3,3.0
what are you doing ?,that .,2,2.0
I don't think we can .,why not ?,3,3.0
why is grandma coming ?,i don't know .,3,3.0
come on then .,i can't see .,2,2.0
"aren't you , Lara ?",yes .,4,4.0
and two of .,trucks .  is this a toy as well ?,3,3.0
I think Daddy's at work .,no .,2,2.0
oh I see .,there .,2,2.0
like the one over there .,there you go .,3,3.0
you're a silly boy .,oh dear dear .,2,2.0
Scarlett's eating some watermelon .,"bye , mummy .",0,0.0
I'll cut it with my fork .,apple juice .,2,2.0
they're going up in the sky ?,mhm .,2,2.0
you said “happily ever after” but what actually happened in the story ?,i just tried .,2,2.0
are you going to put stickers on as well ?,yeah .,4,4.0
there you go .,and,2,2.0
aw hey cname .,yeah .,3,3.0
"okay , try green on green , by all means .",green is supposed to be yours .,3,3.0
would it get hot ?,yeah .,2,2.0
you know what it does ?,what ?,2,2.0
I'm a chippy lady then .,no .,2,2.0
put things in .,yes .,2,2.0
how much do I owe you ?,six money .,2,2.0
yeah we'll go again sometime .,but i want to go again .,4,4.0
do you like it ?,yeah .,3,3.0
you've had a drink .,yes .,3,3.0
what would you name a pig if you had a pig .,what would you like a chicken's drink ?,0,0.0
do you want me to help you ?,yeah .,4,4.0
the lion's on the wall .,see .,3,3.0
let's get the potty .,the big potty .,4,4.0
that's his hand ?,mhm .,3,3.0
why didn't you want Mummy ?,huh .,1,1.0
"well I really don't know what you're talking about , Thomas .",look .,2,2.0
what do I want for Christmas ?,for christmas .,0,0.0
oh it's so good it's .,where the other car ?,2,2.0
we were going to have a look at shapes later on .,mhm .,3,3.0
are you going to put out the fire ?,where fire ?,2,2.0
a padded ski suit .,so that .,2,2.0
bear's all done ?,yeah .,3,3.0
that is Agogo clever girl .,agogo agogo .,3,3.0
we have to cook it first .,okay .,4,4.0
nope look I've found the teacher .,they're all in my room .,2,2.0
now what we've got to do .,yes ?,2,2.0
where did we go yesterday ?,to a party .,4,4.0
what a nice boy Carl is .,it anna's .,2,2.0
but I think it's supposed to be a big cat .,book .,2,2.0
can I have a plate ?,yes .,4,4.0
turn the noise off now on that engine ?,he can't see .,2,2.0
do you think it's silly me burying my leg in the sand ?,yes .,2,2.0
you've made a bridge .,yeah .,3,3.0
do you spray somebody with that ?,yeah .,3,3.0
who lives in there ?,huh ?,2,2.0
this is ridiculous .,oh my trains .,2,2.0
wait a minute .,want a nana .,2,2.0
what's happening there ?,the trees knocked over .,3,3.0
that's called the parachute .,the parachute ?,3,3.0
balance the baby on that highchair ?,that goes on that one .,4,4.0
you're so excited to say .,yes .,2,2.0
because we're going to go and wake Dada up now .,okay .,4,4.0
may I just draw the curtains and I'll turn .,more .,2,2.0
you don't take tellys in the bath .,yeah .,2,2.0
should I peel it ?,yes .,3,3.0
"there isn't any left , is there ?",liz go ?,2,2.0
well this is the nurse's uniform mind .,what is that ?,2,2.0
if you want ta eat in Jenny's chair if it'll get you to eat some more that's fine .,this my paper .,2,2.0
here it is .,i'm not sitting on it .,2,2.0
that's a lizard .,lizard .,4,4.0
is he going to be dirty ?,yeah .,2,2.0
until bath time ?,yeah .,4,4.0
and do you know what these are ?,mhm .,2,2.0
where's the Bow ?,bow .,1,1.0
so could we load some of those pieces of fence ?,yes .,3,3.0
do you have a paw or a hand ?,"a mom, and dad .",1,1.0
what is he wearing ?,a hat .,3,3.0
